Object,Filter,MJD,Flux,Error
1H2106-099,z,58691.515282, 9.982, 0.100
1H2106-099,z,58691.518400, 9.996, 0.099
1H2106-099,z,58691.665249, 9.915, 0.099
1H2106-099,z,58697.702601, 9.951, 0.099
1H2106-099,z,58697.705707, 9.951, 0.099
1H2106-099,z,58698.706487, 9.969, 0.099
1H2106-099,z,58698.709571, 9.923, 0.099
1H2106-099,z,58699.672039, 9.865, 0.099
1H2106-099,z,58699.675134, 9.811, 0.099
1H2106-099,z,58700.571540, 9.830, 0.099
1H2106-099,z,58700.574623, 9.859, 0.099
1H2106-099,z,58700.708884, 9.950, 0.099
1H2106-099,z,58700.711967, 9.997, 0.099
